,lon,lat
2301239818,-148.3302609,70.2664499
2301239819,-148.331616,70.2664516
2301239820,-148.3300313,70.2664657
2301239822,-148.3311452,70.2664853
2301239824,-148.334059,70.2665104
2301239828,-148.3335828,70.2665447
2301239830,-148.3322844,70.2665564
2301239831,-148.3311905,70.2665601
2301239833,-148.3336087,70.2665856
2301239835,-148.3334771,70.2665951
2301239836,-148.3316305,70.2666032
2301239837,-148.330362,70.2666173
2301239838,-148.3312258,70.2666187
2301239839,-148.3311174,70.2666261
2301239840,-148.3301353,70.2666377
2301239842,-148.3299188,70.2666526
2301239843,-148.3336572,70.2666547
2301239844,-148.3341511,70.266656
2301239845,-148.333295,70.2666595
2301239846,-148.3306209,70.2666604
2301239847,-148.3305276,70.2666668
2301239848,-148.3334591,70.266669
2301239849,-148.333152,70.2666698
2301239852,-148.3336795,70.26669
2301239853,-148.3342062,70.2666917
2301239859,-148.3335054,70.2667423
2301239861,-148.3311932,70.2667515
2301239863,-148.3306967,70.2667857
2301239864,-148.3333819,70.2667968
2301239865,-148.331757,70.2668125
2301239866,-148.333147,70.2668138
2301239867,-148.3342976,70.2668361
2301239868,-148.3313602,70.2668409
2301239870,-148.3335967,70.2668866
2301239871,-148.3336144,70.2669146
2301239873,-148.3332284,70.2669424
2301239884,-148.3307514,70.267037
2301239891,-148.3301752,70.2670767
2301623369,-148.4348816,70.2558346
2301623371,-148.4347171,70.2558458
2302261629,-148.3324172,70.2649912
2302261630,-148.3322452,70.2650021
2312046661,-151.4525392,59.664794
2312046662,-151.4521308,59.6648606
2312046663,-151.4527363,59.6651022
2312046665,-151.4522121,59.6649877
2312046666,-151.4519872,59.6650244
2312046670,-151.452641,59.66515
2312046671,-151.4521217,59.6652347
2428593781,-156.9401306,67.0666315
2428593782,-156.9399387,67.0665983
2428593783,-156.9401789,67.0665249
2428593784,-156.9401345,67.0665252
2428593785,-156.939995,67.0666819
2428593788,-156.939928,67.0664092
2428593790,-156.9401613,67.0664959
2428593791,-156.9404054,67.0663569
2428593792,-156.9399387,67.0664583
2428593794,-156.9400448,67.0664768
2428593799,-156.9404069,67.0664037
2428593801,-156.9399923,67.0665994
2428593802,-156.9403023,67.0663922
2428593804,-156.9403264,67.0664078
2428593808,-156.9403008,67.0663611
2428593811,-156.9403291,67.0664392
2428593812,-156.9401372,67.0666809
2428593813,-156.9399146,67.066476
2428593814,-156.9401184,67.0664834
2428598437,-156.9318787,67.0675535
2428598446,-156.9318475,67.0674975
2428598454,-156.9317689,67.0675628
2428598464,-156.9317377,67.0675068
2464884514,-152.506049,57.7310019
2464884515,-152.5061706,57.7310823
2464884516,-152.5057954,57.7311113
2464884518,-152.5049978,57.7311787
2464884519,-152.505917,57.7311916
2464884520,-152.5055102,57.7312365
2464884521,-152.5049554,57.7312858
2464884522,-152.5054679,57.7313436
2464884524,-152.5060889,57.7315438
