,id,lon,lat
3,313698020,-149.9055129,61.2139254
4,313698021,-149.9055117,61.2137195
5,313698022,-149.9039587,61.21372
6,313698023,-149.9039589,61.2139213
7,313892708,-149.9000482,61.2211485
8,313892709,-149.9000225,61.2209378
9,313892710,-149.8982715,61.2209749
10,313892711,-149.8982876,61.2211851
11,313898375,-149.8844799,61.2230128
12,313898376,-149.8844799,61.2228005
13,313898377,-149.8827772,61.2228005
14,313898378,-149.8827773,61.2230128
15,313997168,-149.9015427,61.2180101
16,313997170,-149.9015382,61.2176209
17,313997171,-149.9001894,61.2176345
18,313997172,-149.9011992,61.2180143
19,313997733,-149.8993587,61.2190086
20,313998791,-149.88701,61.2176657
21,313999375,-149.9014801,61.2174424
22,313999378,-149.9014769,61.2170905
23,313999379,-149.9012077,61.2170894
24,313999382,-149.9012074,61.2174429
25,314000020,-149.9046895,61.2172672
26,314000021,-149.9040348,61.2172819
27,314000022,-149.9040353,61.2169672
28,314000025,-149.9046855,61.2169976
29,314000195,-149.8945012,61.2196121
30,314000198,-149.8945019,61.2199308
31,314000201,-149.8943717,61.2199603
32,314000203,-149.8936623,61.2199582
33,314000205,-149.8936548,61.2196178
34,314001213,-149.8871794,61.2184032
35,314001214,-149.887191,61.217751
36,314001217,-149.8869838,61.2176533
37,314001220,-149.8854858,61.2176762
38,314001223,-149.8854838,61.2184014
39,314001576,-149.891278,61.2164141
40,314001578,-149.8912802,61.2161265
41,314001580,-149.8895948,61.2161235
42,314001581,-149.8896023,61.2163709
43,314002273,-149.8891525,61.2150132
44,314002275,-149.8891641,61.2148728
45,314002278,-149.887581,61.2148661
46,314002279,-149.8875825,61.2150369
47,314003008,-149.8830731,61.2143174
48,314003009,-149.8830717,61.2141291
49,314003010,-149.8822465,61.2141313
50,314003011,-149.8822761,61.2144994
51,314003012,-149.8826407,61.2144987
52,314003014,-149.8825996,61.214302
53,314003311,-149.8810225,61.2140409
54,314003314,-149.8810169,61.2137045
55,314003317,-149.8805529,61.2137063
56,314003319,-149.8805585,61.2140427
57,314004719,-149.8789815,61.2180091
58,314004721,-149.8789828,61.2176405
59,314004723,-149.8778639,61.2176423
60,314004724,-149.8778646,61.2179396
61,314004725,-149.8781124,61.2180109
62,314005179,-149.8769357,61.217099
63,314005181,-149.8769148,61.2167162
64,314005183,-149.8767768,61.2166618
65,314005184,-149.8754348,61.2166684
66,314005186,-149.8754192,61.2170669
67,314005187,-149.8758636,61.2170869
68,314005188,-149.8759401,61.2170949
69,314005189,-149.8760508,61.2171334
70,314005190,-149.8767951,61.2171392
71,314031634,-149.9969483,61.19608
72,314031639,-149.9967766,61.1957657
73,314031643,-149.995575,61.1959228
74,314031647,-149.9957467,61.1962454
75,314031712,-150.0008883,61.195389
76,314031715,-150.0007761,61.1951795
77,314031719,-149.9993383,61.1953661
78,314031724,-149.9994606,61.1955734
79,314032418,-150.0004045,61.1926235
80,314032419,-149.9986697,61.1929106
81,314032421,-149.9991007,61.1936481
82,314032423,-150.0008477,61.1934187
83,314423987,-149.9671594,61.1738983
84,314423988,-149.9670882,61.1730757
85,314423989,-149.9654591,61.1730796
86,314423990,-149.9654647,61.1739023
87,314424177,-149.9670862,61.1733221
88,314424262,-149.9669907,61.1738993
89,322949629,-149.8718806,61.1276375
90,322949630,-149.8717772,61.1271099
91,322949632,-149.8707905,61.1271443
92,322949633,-149.8709446,61.1281046
93,322949634,-149.8717432,61.1280726
94,322949635,-149.8716828,61.1276487
95,322949729,-149.8723355,61.1295687
96,322949731,-149.8722325,61.1289719
97,322949732,-149.8717261,61.1289885
98,322949733,-149.8717175,61.1289181
99,322949734,-149.8712025,61.1289346
100,322949735,-149.8713484,61.1297593
101,322949736,-149.8720265,61.1297303
102,322949737,-149.8720007,61.1295811
103,323158234,-149.8423668,61.1024082
104,323158235,-149.8418163,61.1018768
105,323158237,-149.8411761,61.1020333
106,323158238,-149.8417314,61.1025636
135,654289396,-149.4405645,60.1175738
138,655195021,-150.0938063,62.308625
228,822543771,-149.8966103,61.2172774
229,860811559,-149.8555938,61.1718388
230,860811560,-149.8558835,61.1718181
231,860811561,-149.8557869,61.1714973
232,860811562,-149.8560713,61.1714792
233,860811563,-149.856141,61.1716965
234,860811564,-149.8564253,61.1716732
235,860811565,-149.8563019,61.1713602
236,860811566,-149.8560605,61.1713706
237,860811567,-149.8560337,61.1713189
238,860811568,-149.8557816,61.1713266
239,860811569,-149.8557977,61.1713758
240,860811570,-149.8555724,61.1713913
241,860811571,-149.8554704,61.171443
242,860811572,-149.8532174,61.1716034
243,860811573,-149.8532925,61.1714818
244,860811574,-149.8537538,61.1715491
245,860811575,-149.8538289,61.1714146
246,860811576,-149.8531906,61.1713163
247,860811577,-149.853271,61.1711818
248,860811578,-149.8541132,61.1713137
249,860811579,-149.8540757,61.1713887
250,860811580,-149.8541508,61.171399
251,860811581,-149.854006,61.1716318
252,860811582,-149.8539309,61.1716189
253,860811583,-149.8538772,61.1717094
254,970088772,-149.9001829,61.2176121
255,970088773,-149.901211,61.2182078
256,1023608677,-149.9123598,61.1884917
257,1023608748,-149.9114291,61.1884943
258,1023608781,-149.9114291,61.1883508
259,1023608952,-149.9123571,61.1883495
440,1660300835,-149.0987191,60.9699821
441,1660300858,-149.0991648,60.9702182
442,1660300862,-149.0979525,60.9703752
443,1660300866,-149.0970253,60.9705114
444,1660300878,-149.0983598,60.9706396
445,1660300884,-149.097186,60.9707688
454,1725014900,-151.4099069,59.6007098
455,1725014911,-151.4114085,59.600047
456,1725014912,-151.4107587,59.6003081
457,1725014920,-151.4094106,59.600703
458,1725014951,-151.4166831,59.6013833
459,1725014955,-151.411409,59.600205
460,1725014963,-151.4100641,59.6004547
461,1725015019,-151.4099783,59.6004547
462,1725015063,-151.4108767,59.6003054
463,1725015066,-151.4115425,59.6002294
464,1725015068,-151.4114508,59.6002492
465,1725015072,-151.4099461,59.6004316
466,1725015105,-151.4099631,59.6003257
467,1725015145,-151.4173338,59.6015865
468,1725015150,-151.4098183,59.6003691
469,1725015207,-151.4107426,59.6002809
470,1725015208,-151.4108445,59.6002592
471,1725015229,-151.4164504,59.601574
472,1725015236,-151.4097121,59.6007023
473,1725015258,-151.4098317,59.6005645
474,1725015265,-151.4106417,59.6003311
475,1725015275,-151.4094427,59.6009676
476,1725015299,-151.4106309,59.6002985
477,1725015302,-151.4104289,59.6003868
478,1725015314,-151.4100453,59.6004343
479,1725015337,-151.4098955,59.6009763
480,1725015414,-151.4171011,59.6017773
481,1725015431,-151.4097395,59.600342
482,1725015438,-151.4104047,59.6003488
483,1725015443,-151.4099416,59.6003026
484,1725732399,-151.5583545,59.6420604
485,1725732472,-151.5585467,59.6419392
486,1725735024,-151.5583548,59.6421604
487,1725735069,-151.5582814,59.6420322
488,1725735451,-151.5574503,59.6420329
489,1725735903,-151.5582814,59.6420605
490,1725736350,-151.5569001,59.6419409
491,1725736399,-151.5585475,59.6421603
