,id,lon,lat
109,450881078,-147.7210118,64.8434437
110,450881079,-147.7211298,64.8436895
111,450881080,-147.720742,64.843646
112,450881081,-147.7206133,64.8436716
113,450881082,-147.7203022,64.8437173
114,450881083,-147.7202182,64.8436906
115,450881084,-147.7195702,64.843743
116,450881085,-147.7194794,64.8435757
139,760022572,-147.8252771,64.8561726
140,760022574,-147.8250576,64.8562363
141,760022576,-147.8245681,64.8559305
142,760022578,-147.824788,64.855867
143,760022693,-147.8431317,64.8575339
144,760022696,-147.8421841,64.8574712
145,760022700,-147.8421872,64.8573783
146,760022703,-147.8429731,64.857383
147,760022854,-147.8483944,64.8581909
148,760022857,-147.8490045,64.8582817
149,760023070,-147.8213491,64.8587893
150,760023073,-147.821347,64.8584877
151,760023076,-147.8211395,64.8584873
152,760023080,-147.8211366,64.8587889
153,760023096,-147.8241351,64.8584976
154,760023100,-147.8235455,64.8584178
155,760023105,-147.8236317,64.8583602
156,760023110,-147.8239665,64.8584507
157,760023114,-147.8243485,64.8581956
158,760023141,-147.8309681,64.8585496
159,760023144,-147.830272,64.8585501
160,760023148,-147.8297054,64.8587993
161,760023156,-147.8284094,64.8585477
162,760023159,-147.8284086,64.8583377
163,760023162,-147.8290905,64.8583373
164,760023174,-147.8297043,64.8584944
165,760023181,-147.8302712,64.8583331
166,760023183,-147.8309674,64.8583326
167,760023204,-147.8241375,64.8567933
168,760023206,-147.8235662,64.8567095
169,760023208,-147.8230217,64.8567727
170,760023213,-147.8229842,64.8566816
171,760023216,-147.8234844,64.8566012
172,760023220,-147.823644,64.8564548
173,760023224,-147.8238223,64.8564864
174,760023229,-147.823707,64.8565947
175,760023233,-147.8242475,64.856685
176,760145281,-147.8239563,64.8606942
177,760145282,-147.8237033,64.8606934
178,760145283,-147.8236742,64.8602738
179,760145285,-147.8252932,64.8606122
180,760145286,-147.8252881,64.8604411
181,760145287,-147.8254028,64.8604405
182,760145288,-147.8254002,64.8603528
183,760145289,-147.8252407,64.8603536
184,760145290,-147.825113,64.8606132
185,760145291,-147.8263866,64.8604322
186,760145294,-147.8262036,64.8604733
187,760725109,-147.7219306,64.8454629
188,760725111,-147.7214782,64.8454327
189,760725112,-147.721578,64.8451741
190,760725113,-147.7217768,64.8451583
191,760725424,-147.7174958,64.8440763
192,760725425,-147.7168518,64.8441235
193,760725426,-147.7167805,64.843948
194,760725427,-147.7174245,64.8439008
195,763046806,-147.7166819,64.8424598
196,763046825,-147.7162269,64.8420729
197,763046834,-147.7252087,64.8439746
198,763046841,-147.7161944,64.842484
199,763046870,-147.7166494,64.84237
200,763046894,-147.7255095,64.8435784
201,763046896,-147.7163488,64.8423804
202,763046908,-147.7160481,64.8420936
203,763550331,-147.8319101,64.8591327
204,763550337,-147.8327182,64.8591464
205,763550376,-147.8262292,64.858798
206,763550377,-147.8323814,64.8590754
207,763550403,-147.8323231,64.8591999
208,763550423,-147.8321028,64.8590848
209,763550455,-147.8325852,64.8591464
210,763550469,-147.8319084,64.8592215
211,763550480,-147.8324997,64.8590316
212,763550522,-147.8319097,64.8591104
213,763550583,-147.8316995,64.8592429
214,763550664,-147.8321715,64.8590962
215,763550683,-147.8325064,64.8591466
216,763550698,-147.8319087,64.8592432
217,763550705,-147.8326608,64.8590335
218,763550738,-147.8321903,64.8592002
219,763550780,-147.8316978,64.8591332
220,763550813,-147.82675,64.8586143
221,763550814,-147.8323157,64.8590843
222,763550818,-147.8268774,64.858686
223,763550829,-147.8323981,64.8591777
224,763550867,-147.8321182,64.8592004
225,763550874,-147.8263267,64.85886
226,763550875,-147.8325002,64.8590624
227,763626866,-147.8236714,64.8604936
282,1358298021,-147.9102955,64.9132554
283,1358298022,-147.9102314,64.9130903
284,1358298023,-147.9105412,64.9130686
285,1358298053,-147.9106053,64.9132338
286,1658669020,-147.8097565,64.8311361
287,1658669021,-147.811898,64.831134
288,1658669022,-147.8100777,64.8313033
289,1658669024,-147.8097572,64.8312765
290,1658669026,-147.8106261,64.8313233
291,1658669028,-147.811899,64.8313221
292,1658669029,-147.8105214,64.8313619
293,1658669031,-147.8100828,64.8322399
294,1658669033,-147.8105266,64.8322394
295,1658669085,-147.7701214,64.8425717
296,1658669087,-147.7705003,64.8427633
297,1658669088,-147.769075,64.8429458
298,1658669093,-147.769454,64.8431374
299,1658669473,-147.7170682,64.8600358
300,1658669474,-147.716621,64.8600374
301,1658669475,-147.7224202,64.8600452
302,1658669477,-147.7208392,64.8600468
303,1658669500,-147.7219109,64.8602562
304,1658669501,-147.7208404,64.8602573
305,1658669504,-147.7146196,64.8603095
306,1658669505,-147.7234302,64.8603165
307,1658669508,-147.7162627,64.8603169
308,1658669510,-147.7224217,64.8603175
309,1658669534,-147.7146148,64.8605014
310,1658669538,-147.716258,64.8605088
311,1658669541,-147.7234313,64.8605232
312,1658669544,-147.7219124,64.8605247
313,1658669553,-147.7161465,64.8607151
314,1658669555,-147.7170822,64.8607452
315,1658669558,-147.716635,64.8607468
316,1658669561,-147.716283,64.8608743
317,1658669570,-147.7146123,64.8609525
318,1658669581,-147.7147488,64.8611117
319,1658669588,-147.7181221,64.8613691
320,1658669589,-147.7185166,64.8614222
321,1658669591,-147.7215714,64.8614652
322,1658669594,-147.7211933,64.8614701
323,1658669607,-147.7189068,64.8614543
324,1658669609,-147.7193002,64.8614546
325,1658669610,-147.7219648,64.8615802
326,1658669611,-147.7230389,64.8615814
327,1658669613,-147.7150292,64.8616066
328,1658669615,-147.7145864,64.8616086
329,1658669617,-147.7219638,64.8617401
330,1658669618,-147.7230379,64.8617413
331,1658669620,-147.7224275,64.8619266
332,1658669630,-147.7220672,64.8619307
333,1658669631,-147.7176467,64.8620075
334,1658669633,-147.7180412,64.8620606
335,1658669636,-147.7189033,64.8621255
336,1658669639,-147.7192968,64.8621258
337,1658669642,-147.7216192,64.8621319
338,1658669645,-147.7212411,64.8621368
339,1658669648,-147.7193362,64.8621903
340,1658669650,-147.7188534,64.8621927
341,1658669652,-147.7213947,64.8622574
342,1658669657,-147.7210228,64.8622584
343,1658669658,-147.7177988,64.8622473
344,1658669660,-147.7181695,64.8622996
345,1658669662,-147.7150466,64.8623047
346,1658669664,-147.7146038,64.8623067
347,1658669666,-147.7193434,64.8624499
348,1658669669,-147.7188606,64.8624523
349,1658669672,-147.7189027,64.8625264
350,1658669674,-147.719296,64.8625286
351,1658669687,-147.7224698,64.8625875
352,1658669688,-147.7221094,64.8625917
353,1658669689,-147.7150471,64.8626078
354,1658669692,-147.7149113,64.8627931
355,1658669695,-147.7166306,64.8628173
356,1658669698,-147.7173034,64.8628816
357,1658669700,-147.7214051,64.8629218
358,1658669702,-147.7210332,64.8629229
359,1658669714,-147.7176741,64.8629338
360,1658669717,-147.7164947,64.8630025
361,1658669719,-147.7188821,64.8631983
362,1658669720,-147.7192753,64.8632004
364,1660266423,-147.8229624,64.8591251
365,1660266424,-147.8231112,64.8591763
366,1660266427,-147.8228059,64.8592071
367,1660266430,-147.8228987,64.859239
368,1660266431,-147.8221984,64.8592546
369,1660266439,-147.8220864,64.8593202
370,1660266443,-147.8225307,64.8593572
371,1660266456,-147.8224187,64.8594227
372,1660266460,-147.8230229,64.8595157
373,1660266466,-147.829286,64.8595603
374,1660266469,-147.8289132,64.8595916
375,1660266472,-147.8229058,64.8595873
376,1660266475,-147.8233392,64.8596089
377,1660266484,-147.8293236,64.8596408
378,1660266487,-147.8289508,64.8596722
379,1660266488,-147.823222,64.8596805
380,1660266521,-147.8256288,64.8603047
381,1660266522,-147.8261311,64.8603136
382,1660266525,-147.8279516,64.8604073
383,1660266527,-147.8282659,64.860376
384,1660266528,-147.8288519,64.8603766
385,1660266531,-147.8256533,64.860387
386,1660266532,-147.8281334,64.8604042
387,1660266533,-147.8282662,64.860404
388,1660266534,-147.826131,64.8603938
389,1660266538,-147.8281415,64.8604398
390,1660266539,-147.8285071,64.8604415
391,1660266540,-147.8282666,64.8604395
392,1660266541,-147.8285933,64.8604414
393,1660266543,-147.8295478,64.8604638
394,1660266544,-147.8293493,64.8604651
395,1660266545,-147.8282669,64.8604728
396,1660266546,-147.8285937,64.8604725
397,1660266547,-147.8285074,64.8604723
398,1660266548,-147.8288529,64.860472
399,1660266549,-147.8293501,64.8604865
400,1660266550,-147.8292193,64.8604874
401,1660266551,-147.8279145,64.8605102
402,1660266552,-147.828023,64.86051
403,1660266553,-147.8281422,64.8605093
404,1660266554,-147.8282369,64.8605091
405,1660266557,-147.8295362,64.8605609
406,1660266558,-147.8293803,64.860562
407,1660266561,-147.8293808,64.8605751
408,1660266562,-147.8292227,64.8605762
409,1660266565,-147.8296937,64.8606101
410,1660266566,-147.8296311,64.8606105
411,1660266567,-147.8295381,64.8606122
412,1660266568,-147.8294687,64.8606127
413,1660266569,-147.828144,64.8606467
414,1660266570,-147.8282384,64.8606466
415,1660266571,-147.8279318,64.8606467
416,1660266572,-147.8280245,64.860647
417,1660266574,-147.8281438,64.8607163
418,1660266575,-147.8282698,64.8607164
419,1660266576,-147.8279316,64.8607156
420,1660266577,-147.8279737,64.8607157
421,1660266578,-147.8296991,64.8607487
422,1660266579,-147.8294741,64.8607503
423,1660266580,-147.8279737,64.8607531
424,1660266581,-147.8282699,64.8607532
425,1660266666,-147.8284774,64.8611302
426,1660266667,-147.8282615,64.8611316
427,1660266676,-147.8284813,64.8612354
428,1660266677,-147.8284025,64.861236
429,1660266678,-147.8283254,64.8612361
430,1660266679,-147.8282654,64.8612365
431,1660266680,-147.8287351,64.8612742
432,1660266681,-147.8285763,64.8612753
433,1660266682,-147.8285768,64.8612895
434,1660266683,-147.8284046,64.8612907
435,1660266687,-147.8287385,64.8613656
436,1660266688,-147.8285762,64.8613839
437,1660266689,-147.8284133,64.8613653
438,1660266690,-147.8283302,64.8613659
439,1660266692,-147.828414,64.861385
523,1952287594,-152.0862251,65.171155
524,1952287597,-152.0902127,65.1712731
525,1952287653,-152.0905375,65.1712139
526,1952287687,-152.0900275,65.1712608
527,1952287690,-152.0825604,65.170748
528,1952287700,-152.0900525,65.1711826
529,1952287708,-152.0895267,65.1716008
530,1952287740,-152.0826888,65.1707245
531,1952287745,-152.0940207,65.1714789
532,1952287746,-152.0902365,65.1711973
533,1952287806,-152.0894981,65.1712309
534,1952287809,-152.0862378,65.1709602
535,1952287820,-152.093052,65.1716454
536,1952287844,-152.0864576,65.1709627
537,1952287847,-152.0827376,65.1707565
538,1952287868,-152.0826229,65.170721
539,1952287898,-152.0895232,65.1711527
540,1952287903,-152.089592,65.171369
541,1952287908,-152.0935171,65.1715442
542,1952287954,-152.0864449,65.1711575
543,1952287956,-152.0939616,65.1716903
544,1952287961,-152.0894291,65.171361
545,1952287963,-152.0826165,65.1707507
546,1952287964,-152.0905137,65.1712898
547,1952287984,-152.0930863,65.1715229
548,1952288001,-152.0893639,65.1715927
549,1952288007,-152.0826819,65.1707538
550,1952288010,-152.0827028,65.170884
551,1952288042,-152.0825256,65.1708755
552,1952288049,-152.093542,65.1714553
553,1952299878,-152.035464,65.1706206
554,1952299900,-152.0353038,65.1706229
555,1952299909,-152.0357441,65.1705245
556,1952299911,-152.0352965,65.1705308
557,1952299934,-152.0354633,65.1706116
558,1952299967,-152.0357507,65.1706076
837,2195353135,-147.3585514,64.7580003
838,2195353139,-147.358946,64.7579829
839,2195353142,-147.3589305,64.7583429
840,2195353146,-147.3589262,64.7584937
841,2195353149,-147.3585551,64.7579111
842,2195353161,-147.3588073,64.757913
843,2195353162,-147.3588043,64.7579818
844,2195353166,-147.3585509,64.758493
845,2195353168,-147.3584791,64.7579998
846,2195353169,-147.3584633,64.7584928
847,2195353171,-147.3589249,64.7586445
848,2195353172,-147.3584648,64.7583497
849,2195353173,-147.3585495,64.7586439
850,2203900520,-147.721647,64.8454528
851,2203900522,-147.7216369,64.8453112
852,2203900536,-147.7216313,64.8454183
853,2203900565,-147.7214301,64.8453305
854,2203900567,-147.7206212,64.843686
855,2210509086,-147.5348372,64.8296514
856,2210509088,-147.53432,64.8289962
857,2210509089,-147.5322677,64.8294951
858,2210509092,-147.5324688,64.8295099
859,2210509093,-147.5341667,64.8289133
860,2210509096,-147.5320156,64.8295168
861,2210509097,-147.532906,64.828344
862,2210509100,-147.5345368,64.8298202
863,2210509101,-147.5334049,64.8289692
864,2210509103,-147.532155,64.8295122
865,2210509104,-147.5330992,64.8294597
866,2210509105,-147.5320263,64.8295887
867,2210509111,-147.5335981,64.8284136
868,2210509112,-147.5324769,64.8295818
869,2210509113,-147.5329007,64.8283965
870,2210509114,-147.5330267,64.8284024
871,2210509116,-147.5322677,64.8294769
872,2210509117,-147.5330214,64.8284205
873,2210509120,-147.532434,64.8294734
874,2210509121,-147.533582,64.8295306
875,2210509122,-147.5335872,64.8294579
876,2210509128,-147.5342016,64.8288165
877,2210509131,-147.5324393,64.8295134
878,2210509133,-147.5329972,64.8283406
879,2210509135,-147.5336302,64.8290399
880,2210509137,-147.5335659,64.8283406
881,2210509138,-147.5331045,64.829535
882,2210509139,-147.5343518,64.8289236
883,2210509141,-147.5336839,64.8283406
884,2210509145,-147.5330321,64.8283121
885,2210509146,-147.5345744,64.8288405
886,2210509147,-147.5330348,64.8282893
887,2210509150,-147.5345111,64.8290078
888,2210509151,-147.5335981,64.8283999
889,2210509155,-147.5334049,64.8290388
890,2210509158,-147.5332696,64.8289715
891,2210509161,-147.5329946,64.8283123
892,2210509163,-147.5336919,64.8284056
893,2210509164,-147.5321684,64.829494
894,2210509165,-147.5335712,64.8282893
895,2210509169,-147.5332668,64.8288892
896,2210509170,-147.533629,64.8288845
897,2210509171,-147.5344376,64.8297518
898,2210509172,-147.5349284,64.8297132
2766,2661118103,-145.8571809,63.5293405
2767,2661118104,-145.8569395,63.5293456
2768,2661118112,-145.8572038,63.5295915
2769,2661118115,-145.8569798,63.5295941
2848,2673348480,-147.7112782,64.8396593
2849,2673348481,-147.7108933,64.8396741
2850,2673348482,-147.7140221,64.8396479
2851,2673348483,-147.7126657,64.8397097
2852,2673348484,-147.7120587,64.8397414
2853,2673348485,-147.7128567,64.8397967
2854,2673348486,-147.7120903,64.8398695
2855,2673348487,-147.7113308,64.8398891
2856,2673348488,-147.7141173,64.840063
2857,2673348489,-147.7132161,64.8402021
2858,2673348490,-147.7110239,64.8402805
2968,2784270279,-147.933285,64.8897473
2969,2784270281,-147.933257,64.8898291
2985,2786275447,-147.746252,64.8350387
2986,2786275450,-147.746271,64.8349507
2987,2786275452,-147.7460276,64.8349427
2988,2786275454,-147.746013,64.8350313
2989,2800105381,-149.4732516,63.7228069
2990,2800105382,-149.4733505,63.7228102
2991,2800105385,-149.473246,63.7228452
2992,2800105386,-149.4733444,63.722848
2993,2800106883,-148.8910425,63.7416967
2994,2800106886,-148.8909076,63.7417355
2995,2800106887,-148.8905535,63.7417798
2996,2800106888,-148.8904352,63.7418338
2997,2800106889,-148.8903902,63.7418519
2998,2800106890,-148.8912757,63.7418557
2999,2800106891,-148.8902552,63.7418949
3000,2800106892,-148.8913267,63.7418783
3001,2800106893,-148.8908721,63.7419162
3002,2800106894,-148.8911407,63.7418944
3003,2800106895,-148.8912067,63.7419118
3004,2800106896,-148.8900846,63.7419366
3005,2800106897,-148.8909113,63.7419394
3006,2800106898,-148.8905762,63.7419652
3007,2800106899,-148.8907538,63.7419703
3008,2800106900,-148.8899457,63.7419826
3009,2800106901,-148.8906193,63.7419908
3010,2800106902,-148.8907902,63.7419902
3011,2800106903,-148.8904408,63.7420082
3012,2800106904,-148.8914884,63.7419913
3013,2800106905,-148.8904719,63.7420318
3014,2800106906,-148.8911295,63.7420411
3015,2800106907,-148.8913684,63.7420249
3016,2800106908,-148.8910081,63.7420919
3017,2800106909,-148.8903804,63.7421084
3018,2800106910,-148.8904281,63.7421415
3019,2800106911,-148.8909613,63.7421712
3020,2800106912,-148.8902411,63.7421544
3021,2800106913,-148.8902689,63.7421629
3022,2800106914,-148.8908822,63.7421727
3023,2800106916,-148.8907348,63.7422137
3024,2800106918,-148.8908414,63.7422367
3025,2800106919,-148.8912469,63.7422848
3026,2800106920,-148.8905251,63.7422743
3027,2800106921,-148.8903655,63.7422968
3028,2800106924,-148.8908718,63.7423352
3029,2800106927,-148.8912258,63.7423841
3030,2800106928,-148.8907368,63.742413
3031,2800106929,-148.8918652,63.7424676
3032,2800106931,-148.8913624,63.7425014
3033,2800106932,-148.8917047,63.7424981
3034,2800106934,-148.8915214,63.742514
3035,2800106936,-148.8916794,63.7425443
3036,2800106938,-148.8902067,63.7426326
3037,2800106939,-148.8914459,63.7425894
3038,2800106940,-148.8912525,63.7425648
3039,2800106941,-148.8900975,63.7426615
3040,2800106942,-148.8916033,63.7426207
3041,2800106944,-148.8902846,63.74269
3042,2800106946,-148.892059,63.742665
