lon,lat
-149.537715,61.311421
-149.537718,61.313605
-149.537777,61.313666
-149.537783,61.313591
-149.537787,61.311446
-149.537788,61.311904
-149.537805,61.313361
-149.5378309,61.3683187
-149.537915,61.313421
-149.537994,61.313318
-149.5380607,61.3684956
-149.538062,61.313388
-149.538086,61.313597
-149.538105,61.311053
-149.538141,61.310943
-149.538159,61.5824076
-149.5381753,61.3686305
-149.5383577,61.5824724
-149.5384137,61.3689086
-149.538492,61.311082
-149.538528,61.310973
-149.5386188,61.3692035
-149.538783,61.3696361
-149.5387912,61.3698917
-149.5388341,61.3725366
-149.5388404,61.3708788
-149.5391988,61.3142098
-149.5392266,61.3127462
-149.5392584,61.3142461
-149.5394076,61.3137542
-149.5394076,61.313619
-149.5394681,61.313619
-149.5394681,61.3135773
-149.5395597,61.3133085
-149.5395605,61.3135773
-149.539599,61.3137726
-149.539599,61.3137542
-149.5396553,61.3138906
-149.5396557,61.3137726
-149.5398658,61.3138908
-149.5398667,61.3136424
-149.5398976,61.3142518
-149.5399085,61.3135938
-149.5399087,61.3136492
-149.5399329,61.3133083
-149.5399338,61.3135938
-149.5399611,61.3127424
-149.5399968,61.3138687
-149.541067,61.323694
-149.5411796,61.5769772
-149.5411815,61.5769398
-149.5411964,61.5770427
-149.5412042,61.5768208
-149.541218,61.5766991
-149.5412318,61.5770895
-149.541263,61.323514
-149.5412711,61.5771073
-149.541293,61.323522
-149.541295,61.323751
-149.541343,61.323476
-149.541403,61.323652
-149.541444,61.323502
-149.541463,61.323483
-149.541511,61.323679
-149.541669,61.323535
-149.5426469,61.3251067
-149.5426739,61.3244886
-149.5426921,61.5774359
-149.5429015,61.3156973
-149.5429102,61.3144107
-149.543409,61.5777389
-149.54341,61.5775932
-149.5440268,61.5772394
-149.5440302,61.5773574
-149.5440334,61.5774679
-149.544053,61.324622
-149.544057,61.324739
-149.544279,61.324737
-149.544281,61.324772
-149.5445312,61.5774646
-149.544538,61.324618
-149.544543,61.32477
-149.5446108,61.5774641
-149.5446918,61.577235
-149.5446925,61.5772589
-149.5446984,61.5774635
-149.5449168,61.576773
-149.5449168,61.5766897
-149.5450191,61.5772568
-149.5450206,61.5773102
-149.5450221,61.577361
-149.5450227,61.5773827
-149.5450234,61.5774069
-149.5450247,61.5774516
-149.545025,61.5774614
-149.5451245,61.3251315
-149.5451515,61.3245137
-149.5458913,61.315052
-149.5459104,61.5784737
-149.5459795,61.3451413
-149.5460362,61.3147393
-149.5460947,61.3465343
-149.5462027,61.3152296
-149.5462331,61.3471147
-149.546297,61.3148881
-149.5463055,61.3441095
-149.5463527,61.5767731
-149.5463922,61.315153
-149.5464811,61.3052588
-149.5465182,61.3071371
-149.5465415,61.5767441
-149.5465619,61.3152498
-149.5465693,61.3451775
-149.5465789,61.3445995
-149.546581,61.3103108
-149.546601,61.5767307
-149.5466109,61.5786384
-149.5467088,61.3144677
-149.5467423,61.3151768
-149.5467748,61.3454375
-149.5468719,61.3445068
-149.5469385,61.3152886
-149.5469493,61.5786703
-149.5469817,61.3146233
-149.5469826,61.3052588
-149.5470426,61.3061288
-149.5470741,61.5767146
-149.5471512,61.3148545
-149.5471572,61.3150159
-149.5471668,61.3445719
-149.5472278,61.3063307
-149.5472762,61.3066897
-149.5472815,61.3437895
-149.5472884,61.3065188
-149.5473025,61.3067038
-149.5473193,61.3149504
-149.5473241,61.344796
-149.5473464,61.3151238
-149.5473515,61.3144739
-149.5473597,61.3062485
-149.5473632,61.3059731
-149.5473865,61.3438631
-149.5474032,61.3067514
-149.5474731,61.3147245
-149.5474737,61.3064247
-149.547493,61.3450096
-149.5474972,61.3067989
-149.5475215,61.3453017
-149.5475346,61.3438145
-149.5475591,61.3453493
-149.5475818,61.3439526
-149.5475921,61.3068465
