id,lon,lat
231533700,-153.7497905,57.5536757
231533714,-153.7473421,57.5538657
231534636,-153.7463483,57.5542111
313698020,-149.9055129,61.2139254
313698021,-149.9055117,61.2137195
313698022,-149.9039587,61.21372
313698023,-149.9039589,61.2139213
313892708,-149.9000482,61.2211485
313892709,-149.9000225,61.2209378
313892710,-149.8982715,61.2209749
313892711,-149.8982876,61.2211851
313898375,-149.8844799,61.2230128
313898376,-149.8844799,61.2228005
313898377,-149.8827772,61.2228005
313898378,-149.8827773,61.2230128
313997168,-149.9015427,61.2180101
313997170,-149.9015382,61.2176209
313997171,-149.9001894,61.2176345
313997172,-149.9011992,61.2180143
313997733,-149.8993587,61.2190086
313998791,-149.88701,61.2176657
313999375,-149.9014801,61.2174424
313999378,-149.9014769,61.2170905
313999379,-149.9012077,61.2170894
313999382,-149.9012074,61.2174429
314000020,-149.9046895,61.2172672
314000021,-149.9040348,61.2172819
314000022,-149.9040353,61.2169672
314000025,-149.9046855,61.2169976
314000195,-149.8945012,61.2196121
314000198,-149.8945019,61.2199308
314000201,-149.8943717,61.2199603
314000203,-149.8936623,61.2199582
314000205,-149.8936548,61.2196178
314001213,-149.8871794,61.2184032
314001214,-149.887191,61.217751
314001217,-149.8869838,61.2176533
314001220,-149.8854858,61.2176762
314001223,-149.8854838,61.2184014
314001576,-149.891278,61.2164141
314001578,-149.8912802,61.2161265
314001580,-149.8895948,61.2161235
314001581,-149.8896023,61.2163709
314002273,-149.8891525,61.2150132
314002275,-149.8891641,61.2148728
314002278,-149.887581,61.2148661
314002279,-149.8875825,61.2150369
314003008,-149.8830731,61.2143174
314003009,-149.8830717,61.2141291
314003010,-149.8822465,61.2141313
314003011,-149.8822761,61.2144994
314003012,-149.8826407,61.2144987
314003014,-149.8825996,61.214302
314003311,-149.8810225,61.2140409
314003314,-149.8810169,61.2137045
314003317,-149.8805529,61.2137063
314003319,-149.8805585,61.2140427
314004719,-149.8789815,61.2180091
314004721,-149.8789828,61.2176405
314004723,-149.8778639,61.2176423
314004724,-149.8778646,61.2179396
314004725,-149.8781124,61.2180109
314005179,-149.8769357,61.217099
314005181,-149.8769148,61.2167162
314005183,-149.8767768,61.2166618
314005184,-149.8754348,61.2166684
314005186,-149.8754192,61.2170669
314005187,-149.8758636,61.2170869
314005188,-149.8759401,61.2170949
314005189,-149.8760508,61.2171334
314005190,-149.8767951,61.2171392
314031634,-149.9969483,61.19608
314031639,-149.9967766,61.1957657
314031643,-149.995575,61.1959228
314031647,-149.9957467,61.1962454
314031712,-150.0008883,61.195389
314031715,-150.0007761,61.1951795
314031719,-149.9993383,61.1953661
314031724,-149.9994606,61.1955734
314032418,-150.0004045,61.1926235
314032419,-149.9986697,61.1929106
314032421,-149.9991007,61.1936481
314032423,-150.0008477,61.1934187
314423987,-149.9671594,61.1738983
314423988,-149.9670882,61.1730757
314423989,-149.9654591,61.1730796
314423990,-149.9654647,61.1739023
314424177,-149.9670862,61.1733221
314424262,-149.9669907,61.1738993
322949629,-149.8718806,61.1276375
322949630,-149.8717772,61.1271099
322949632,-149.8707905,61.1271443
