lon,lat
-149.9055129,61.2139254
-149.9055117,61.2137195
-149.9039587,61.21372
-149.9039589,61.2139213
-149.9000482,61.2211485
-149.9000225,61.2209378
-149.8982715,61.2209749
-149.8982876,61.2211851
-149.8844799,61.2230128
-149.8844799,61.2228005
-149.8827772,61.2228005
-149.8827773,61.2230128
-149.9015427,61.2180101
-149.9015382,61.2176209
-149.9001894,61.2176345
-149.9011992,61.2180143
-149.8993587,61.2190086
-149.88701,61.2176657
-149.9014801,61.2174424
-149.9014769,61.2170905
-149.9012077,61.2170894
-149.9012074,61.2174429
-149.9046895,61.2172672
-149.9040348,61.2172819
-149.9040353,61.2169672
-149.9046855,61.2169976
-149.8945012,61.2196121
-149.8945019,61.2199308
-149.8943717,61.2199603
-149.8936623,61.2199582
-149.8936548,61.2196178
-149.8871794,61.2184032
-149.887191,61.217751
-149.8869838,61.2176533
-149.8854858,61.2176762
-149.8854838,61.2184014
-149.891278,61.2164141
-149.8912802,61.2161265
-149.8895948,61.2161235
-149.8896023,61.2163709
-149.8891525,61.2150132
-149.8891641,61.2148728
-149.887581,61.2148661
-149.8875825,61.2150369
-149.8830731,61.2143174
-149.8830717,61.2141291
-149.8822465,61.2141313
-149.8822761,61.2144994
-149.8826407,61.2144987
-149.8825996,61.214302
-149.8810225,61.2140409
-149.8810169,61.2137045
-149.8805529,61.2137063
-149.8805585,61.2140427
-149.8789815,61.2180091
-149.8789828,61.2176405
-149.8778639,61.2176423
-149.8778646,61.2179396
-149.8781124,61.2180109
-149.8769357,61.217099
-149.8769148,61.2167162
-149.8767768,61.2166618
-149.8754348,61.2166684
-149.8754192,61.2170669
-149.8758636,61.2170869
-149.8759401,61.2170949
-149.8760508,61.2171334
-149.8767951,61.2171392
-149.9969483,61.19608
-149.9967766,61.1957657
-149.995575,61.1959228
-149.9957467,61.1962454
-150.0008883,61.195389
-150.0007761,61.1951795
-149.9993383,61.1953661
-149.9994606,61.1955734
-150.0004045,61.1926235
-149.9986697,61.1929106
-149.9991007,61.1936481
-150.0008477,61.1934187
-149.9671594,61.1738983
-149.9670882,61.1730757
-149.9654591,61.1730796
-149.9654647,61.1739023
-149.9670862,61.1733221
-149.9669907,61.1738993
-149.8718806,61.1276375
-149.8717772,61.1271099
-149.8707905,61.1271443
-149.8709446,61.1281046
-149.8717432,61.1280726
-149.8716828,61.1276487
-149.8723355,61.1295687
-149.8722325,61.1289719
-149.8717261,61.1289885
-149.8717175,61.1289181
-149.8712025,61.1289346
-149.8713484,61.1297593
-149.8720265,61.1297303
-149.8720007,61.1295811
-149.8423668,61.1024082
-149.8418163,61.1018768
-149.8411761,61.1020333
-149.8417314,61.1025636
-149.4405645,60.1175738
-150.0938063,62.308625
-149.8966103,61.2172774
-149.8555938,61.1718388
-149.8558835,61.1718181
-149.8557869,61.1714973
-149.8560713,61.1714792
-149.856141,61.1716965
-149.8564253,61.1716732
-149.8563019,61.1713602
-149.8560605,61.1713706
-149.8560337,61.1713189
-149.8557816,61.1713266
-149.8557977,61.1713758
-149.8555724,61.1713913
-149.8554704,61.171443
-149.8532174,61.1716034
-149.8532925,61.1714818
-149.8537538,61.1715491
-149.8538289,61.1714146
-149.8531906,61.1713163
-149.853271,61.1711818
-149.8541132,61.1713137
-149.8540757,61.1713887
-149.8541508,61.171399
-149.854006,61.1716318
-149.8539309,61.1716189
-149.8538772,61.1717094
-149.9001829,61.2176121
-149.901211,61.2182078
-149.9123598,61.1884917
-149.9114291,61.1884943
-149.9114291,61.1883508
-149.9123571,61.1883495
-149.0987191,60.9699821
-149.0991648,60.9702182
-149.0979525,60.9703752
-149.0970253,60.9705114
-149.0983598,60.9706396
-149.097186,60.9707688
-151.4099069,59.6007098
-151.4114085,59.600047
-151.4107587,59.6003081
-151.4094106,59.600703
-151.4166831,59.6013833
-151.411409,59.600205
-151.4100641,59.6004547
-151.4099783,59.6004547
-151.4108767,59.6003054
-151.4115425,59.6002294
-151.4114508,59.6002492
-151.4099461,59.6004316
-151.4099631,59.6003257
-151.4173338,59.6015865
-151.4098183,59.6003691
-151.4107426,59.6002809
-151.4108445,59.6002592
-151.4164504,59.601574
-151.4097121,59.6007023
-151.4098317,59.6005645
-151.4106417,59.6003311
-151.4094427,59.6009676
-151.4106309,59.6002985
-151.4104289,59.6003868
-151.4100453,59.6004343
-151.4098955,59.6009763
-151.4171011,59.6017773
-151.4097395,59.600342
-151.4104047,59.6003488
-151.4099416,59.6003026
-151.5583545,59.6420604
-151.5585467,59.6419392
-151.5583548,59.6421604
-151.5582814,59.6420322
-151.5574503,59.6420329
-151.5582814,59.6420605
-151.5569001,59.6419409
-151.5585475,59.6421603
-151.5569006,59.642063
-151.5574504,59.6420625
-151.5563765,59.6420644
-151.5563963,59.6420643
-151.55677,59.6419137
-151.5563923,59.6419163
-151.5566265,59.6420699
-151.5566309,59.6422404
-151.5563811,59.642242
-151.5567742,59.642069
-151.5508834,59.6431792
-151.5505253,59.6430421
-151.5508832,59.6431588
-151.5505262,59.6431774
-151.5510202,59.6431789
-151.55102,59.643154
-151.5512937,59.6430408
-151.550697,59.6431772
-151.5506968,59.6431592
-151.551134,59.6431538
-151.5511342,59.6431792
-151.5512946,59.6431789
-149.0971293,60.970678
-149.0970908,60.9706163
-151.2532659,59.7164671
-151.2533072,59.7163959
-151.2532042,59.716425
-151.25323,59.7164015
-151.2533489,59.7164408
-151.2532917,59.7164669
-151.2533517,59.7164278
-151.2532187,59.7164529
-151.2533187,59.7164613
-151.2532776,59.7163928
-151.2533374,59.7164524
-151.2532122,59.7164126
-151.2532069,59.7164413
-151.2533287,59.716403
-151.2533441,59.7164135
-151.2532523,59.716395
