,lon,lat
314413299,-149.9264945,61.1875677
314413300,-149.9256018,61.1875636
314413301,-149.9255932,61.1870134
314413303,-149.9251212,61.1870217
314413304,-149.925104,61.1878283
314417294,-149.9977865,61.1824715
314417295,-149.9968276,61.1820866
314417296,-149.9965219,61.1822653
314418521,-149.9872277,61.1838084
314418522,-149.9852039,61.1840328
314422720,-149.9805854,61.1741826
314422721,-149.9802774,61.1737201
314422722,-149.9797983,61.1734921
314422723,-149.9796884,61.1734723
314422724,-149.9781844,61.1737826
314422725,-149.9787419,61.1745112
314423194,-149.978247,61.1737269
314423198,-149.979438,61.1735165
314423987,-149.9671594,61.1738983
314423988,-149.9670882,61.1730757
314423989,-149.9654591,61.1730796
314423990,-149.9654647,61.1739023
314424177,-149.9670862,61.1733221
314424262,-149.9669907,61.1738993
314457034,-149.8561399,61.1945434
314457035,-149.8561037,61.1933917
314457036,-149.8555562,61.1934235
314457037,-149.8555434,61.1932262
314457038,-149.8551804,61.1932231
314457039,-149.8550947,61.1936978
314457040,-149.854859,61.1936957
314457041,-149.8548334,61.1939376
314457042,-149.8556851,61.1938944
314457043,-149.8556979,61.1945393
314457137,-149.8815096,61.1942935
314457138,-149.8807102,61.1942972
314457139,-149.8807124,61.1944031
314457140,-149.8799143,61.1944068
314457141,-149.8799241,61.1948927
314457142,-149.8815222,61.1949166
314457158,-149.8744489,61.1939197
314457159,-149.8721185,61.1939531
314457160,-149.8721086,61.1935318
314457161,-149.8704004,61.1935411
314457162,-149.8704331,61.1949343
314457163,-149.8721414,61.194925
314457164,-149.8721312,61.1944905
314457188,-149.8655459,61.1944642
314457189,-149.8655057,61.1937042
314457190,-149.8632257,61.1937985
314457191,-149.8629867,61.1950524
314457192,-149.8646404,61.195052
314457193,-149.8646158,61.1943871
314457924,-149.9173768,61.1943895
314457925,-149.9173862,61.193941
314457927,-149.9142318,61.1940782
314458472,-149.8805278,61.1929277
314458475,-149.8805422,61.1915064
314458476,-149.8786252,61.1915047
314458477,-149.8786197,61.192931
314458550,-149.880052,61.189364
314458551,-149.8800488,61.1888345
314458552,-149.8781777,61.1888371
314458553,-149.8781809,61.1893666
314755022,-149.873604,61.204736
314755023,-149.8735955,61.203967
314755024,-149.8723972,61.2039629
314755025,-149.8723681,61.2047306
314755030,-149.8734986,61.2057515
314755031,-149.8734948,61.2051707
314755032,-149.8717748,61.2051733
314755033,-149.8717786,61.2057541
314755154,-149.8719957,61.2038544
314759210,-149.8559591,61.2100449
315574836,-149.547659,61.3146494
315574837,-149.5473515,61.3144739
315574838,-149.5469817,61.3146233
315574839,-149.5467088,61.3144677
315574840,-149.5460362,61.3147393
315574841,-149.546297,61.3148881
315574842,-149.5458913,61.315052
315574843,-149.5462027,61.3152296
315574844,-149.5463922,61.315153
315574845,-149.5465619,61.3152498
315574846,-149.5467423,61.3151768
315574847,-149.5469385,61.3152886
315574848,-149.5473464,61.3151238
315574849,-149.5471572,61.3150159
315574850,-149.5473193,61.3149504
315574851,-149.5471512,61.3148545
318401238,-149.8645693,61.237648
318401239,-149.8647581,61.2374951
318401240,-149.8638569,61.2372391
318401241,-149.8635994,61.2371276
318401242,-149.8631269,61.2365223
318401243,-149.862768,61.2365806
318401245,-149.8630758,61.2370491
318401246,-149.8625523,61.2371441
318401247,-149.862681,61.2373671
318401248,-149.8629729,61.2375241
318401249,-149.8633848,61.2376273
318401250,-149.8636767,61.2374002
318403181,-149.8588357,61.2400942
318403183,-149.8589059,61.2400413
318403186,-149.8586986,61.2396765
318403188,-149.8586559,61.2395669
318403189,-149.8582241,61.239567
318403190,-149.8583097,61.2397145
318403191,-149.8583129,61.2399809
318403193,-149.8583521,61.2401355
322664733,-149.8507786,61.174618
322664734,-149.8516369,61.1741256
322664735,-149.8512764,61.173989
322664736,-149.850873,61.1742373
322664737,-149.8503838,61.1740552
322664738,-149.8505125,61.174018
322664739,-149.8506756,61.1740759
322664740,-149.8509502,61.1739062
